ccode,country.name,year,value
4,Afghanistan,1500,0.4285986
8,Albania,1500,0.6647764
12,Algeria,1500,0.5696114
24,Angola,1500,0.09493334
51,Armenia,1500,0.0165657
40,Austria,1500,0.05419382
31,Azerbaijan,1500,0.03420696
48,Bahrain,1500,0.04614987
50,Bangladesh,1500,0.1371883
112,Belarus,1500,0.006269659
56,Belgium,1500,0.0004669376
204,Benin,1500,0.1825135
64,Bhutan,1500,0.06527728
70,Bosnia and Herzegovina,1500,0.02805456
72,Botswana,1500,0.932135
96,Brunei,1500,0.1162741
100,Bulgaria,1500,0.0310481
854,Burkina Faso,1500,0.3544759
108,Burundi,1500,0.2355238
120,Cameroon,1500,0.09612765
140,Central African Republic,1500,0.2943208
148,Chad,1500,0.6597766
156,China,1500,0.03054272
174,Comoros,1500,0.4984791
178,Congo,1500,0.05301276
180,"Congo, DRC",1500,0.1267816
384,Cote d'Ivoire,1500,0.04591139
191,Croatia,1500,0.02634374
196,Cyprus,1500,0.2582612
203,Czech Republic,1500,0.05186817
262,Djibouti,1500,5.064559
818,Egypt,1500,0.02597641
226,Equatorial Guinea,1500,0.01999537
232,Eritrea,1500,0.3332114
246,Finland,1500,0.0004481123
250,France,1500,0.02783181
266,Gabon,1500,0.1023881
268,Georgia,1500,0.008525452
276,Germany,1500,0.06340791
288,Ghana,1500,0.1213469
300,Greece,1500,0.7941146
324,Guinea,1500,0.0189552
624,Guinea-Bissau,1500,0.194485
348,Hungary,1500,0.006631439
356,India,1500,0.05826489
360,Indonesia,1500,0.04913532
364,Iran,1500,0.5622075
368,Iraq,1500,0.3378854
376,Israel,1500,0.7942197
380,Italy,1500,0.08247383
392,Japan,1500,0.006324789
400,Jordan,1500,0.4839976
398,Kazakhstan,1500,0.04238528
404,Kenya,1500,0.5319825
414,Kuwait,1500,0.1466094
417,Kyrgyzstan,1500,0.07035046
418,Laos,1500,0.01379844
428,Latvia,1500,0.005071648
422,Lebanon,1500,0.2412061
426,Lesotho,1500,1.686018
430,Liberia,1500,0.09161872
434,Libya,1500,0.7387187
440,Lithuania,1500,0.00515741
450,Madagascar,1500,0.06305603
454,Malawi,1500,0.10194
458,Malaysia,1500,0.03627077
466,Mali,1500,0.1357348
470,Malta,1500,0.09978474
478,Mauritania,1500,2.870562
480,Mauritius,1500,0.07950951
498,Moldova,1500,0.01301476
496,Mongolia,1500,5.72419
504,Morocco,1500,0.1469622
508,Mozambique,1500,0.02838731
104,Myanmar,1500,0.01825329
516,Namibia,1500,0.4118028
524,Nepal,1500,0.364615
528,Netherlands,1500,0.003520592
562,Niger,1500,0.1625226
566,Nigeria,1500,0.002870123
408,North Korea,1500,0.007041075
578,Norway,1500,0.02828458
512,Oman,1500,0.172682
586,Pakistan,1500,0.1707476
608,Philippines,1500,0.04057305
616,Poland,1500,0.006322573
620,Portugal,1500,0.1722575
634,Qatar,1500,0.6275849
642,Romania,1500,0.02179843
646,Rwanda,1500,0.1381052
678,Sao Tome and Principe,1500,0.02338801
682,Saudi Arabia,1500,0.1429017
686,Senegal,1500,0.2841394
690,Seychelles,1500,0.03818423
694,Sierra Leone,1500,0.03493529
