Year,Number
2015,462388
2014,679996
2013,662483
2012,671327
2011,678606
2010,796587
2009,889212
2008,1043759
2007,960673
2006,1206408
2005,1291065
2004,1264232
2003,1046422
2002,1062270
2001,1387486
2000,1814729
1999,1714035
1998,1679439
1997,1536520
1996,1649986
1995,1394554
1994,1094719
1993,1327261
1992,1258481
1991,1197875
1990,1169939
1989,954243
1988,1008145
1987,1190488
1986,1767400
1985,1348749
1984,1246981
1983,1251357
1982,970246
1981,975780
1980,910361
1979,1076418
1978,1057977
1977,1042215
1976,1097739
1975,766600
1974,788145
1973,655968
1972,505949
1971,420126
1970,345353
1969,283557
1968,212057
1967,161608
1966,138520
1965,110371
1964,86597
1963,88712
1962,92758
1961,88823
1960,70684
1959,45336
1958,53474
1957,59918
1956,87696
1955,254096
1954,1089583
1953,885587
1952,543535
1951,509040
1950,468339
1949,288253
1948,192779
1947,193657
1946,99591
1945,69164
1944,31174
1943,11175
1942,11784
1941,11294
1940,10492
1939,12037
1938,12851
1937,13054
1936,11728
1935,11016
1934,10319
1933,20949
1932,22735
1931,22276
1930,20880
1929,32711
1928,23566
1927,16393
1926,12735
1925,22199
