ccode,country.name,year,value
528,Netherlands,1820,2
826,United Kingdom,1820,1.76130605
528,Netherlands,1830,2
826,United Kingdom,1830,1.92557094
528,Netherlands,1840,2.5
826,United Kingdom,1840,2.22929185
36,Australia,1850,1.0663258
56,Belgium,1850,3.65071791
156,China,1850,0.79892806
528,Netherlands,1850,3
578,Norway,1850,5.69453249
694,Sierra Leone,1850,0.075
826,United Kingdom,1850,2.64138346
36,Australia,1860,1.4892467
56,Belgium,1860,4.06344921
156,China,1860,0.80468956
328,Guyana,1860,0.27969679
480,Mauritius,1860,0.75193067
528,Netherlands,1860,4
578,Norway,1860,5.57666523
694,Sierra Leone,1860,0.1
144,Sri Lanka,1860,0.25815138
826,United Kingdom,1860,3.14847559
12,Algeria,1870,0.4
24,Angola,1870,0.01
32,Argentina,1870,1.498
36,Australia,1870,3.06
40,Austria,1870,3.201
50,Bangladesh,1870,0.08
56,Belgium,1870,4.27
204,Benin,1870,0.07
76,Brazil,1870,0.46
100,Bulgaria,1870,1.65
120,Cameroon,1870,0.02
124,Canada,1870,5.71
152,Chile,1870,0.9400001
156,China,1870,1.01
188,Costa Rica,1870,0.9
384,Cote d'Ivoire,1870,0.04
192,Cuba,1870,0.83
208,Denmark,1870,4.69
214,Dominican Republic,1870,0.49
818,Egypt,1870,0.15
222,El Salvador,1870,0.6
246,Finland,1870,1.45
250,France,1870,4.119
276,Germany,1870,5.44
288,Ghana,1870,0.04
300,Greece,1870,1.41
320,Guatemala,1870,0.51
328,Guyana,1870,0.43833666
340,Honduras,1870,0.64
348,Hungary,1870,2.578
356,India,1870,0.08
364,Iran,1870,0.29
368,Iraq,1870,0.1
372,Ireland,1870,2.65
380,Italy,1870,0.84
388,Jamaica,1870,0.507
392,Japan,1870,0.97
404,Kenya,1870,0.21
450,Madagascar,1870,0.14
454,Malawi,1870,0.4
458,Malaysia,1870,0.11
466,Mali,1870,0.04
480,Mauritius,1870,0.88205108
484,Mexico,1870,0.56
504,Morocco,1870,0.05
508,Mozambique,1870,0.06
104,Myanmar,1870,0.026
528,Netherlands,1870,5.09
554,New Zealand,1870,3.91
558,Nicaragua,1870,0.54
562,Niger,1870,0.01
566,Nigeria,1870,0.01
578,Norway,1870,5.68
586,Pakistan,1870,0.08
591,Panama,1870,0.78
600,Paraguay,1870,0.63
604,Peru,1870,0.28
608,Philippines,1870,0.14
620,Portugal,1870,0.46
643,Russia,1870,0.9
686,Senegal,1870,0.06
694,Sierra Leone,1870,0.11
702,Singapore,1870,0.38617125
710,South Africa,1870,1.1
410,South Korea,1870,1.11
724,Spain,1870,1.506
144,Sri Lanka,1870,0.26180337
752,Sweden,1870,4.23
756,Switzerland,1870,6.07
760,Syria,1870,0.29
764,Thailand,1870,0.17
780,Trinidad and Tobago,1870,1.68425976
788,Tunisia,1870,0.3
792,Turkey,1870,0.26
800,Uganda,1870,0.04
826,United Kingdom,1870,3.59
840,United States,1870,5.57
858,Uruguay,1870,1.61
862,Venezuela,1870,1.1
716,Zimbabwe,1870,0.01
12,Algeria,1880,0.44
24,Angola,1880,0.01
32,Argentina,1880,1.642
36,Australia,1880,4.15
40,Austria,1880,3.436
50,Bangladesh,1880,0.11
52,Barbados,1880,4.34829515
56,Belgium,1880,4.79
204,Benin,1880,0.1
68,Bolivia,1880,0.55029036
76,Brazil,1880,0.55
100,Bulgaria,1880,1.91
120,Cameroon,1880,0.03
124,Canada,1880,6.2
152,Chile,1880,1.045
156,China,1880,1.06
170,Colombia,1880,0.8981011
188,Costa Rica,1880,1.21
384,Cote d'Ivoire,1880,0.05
192,Cuba,1880,0.94
208,Denmark,1880,4.94
214,Dominican Republic,1880,0.65
218,Ecuador,1880,1.3738556
818,Egypt,1880,0.17
222,El Salvador,1880,0.79
246,Finland,1880,1.53
250,France,1880,4.94
276,Germany,1880,5.7
288,Ghana,1880,0.05
300,Greece,1880,1.76
320,Guatemala,1880,0.67
328,Guyana,1880,0.92421934
340,Honduras,1880,0.85
348,Hungary,1880,2.966
356,India,1880,0.11
364,Iran,1880,0.3
368,Iraq,1880,0.12
372,Ireland,1880,3.31
380,Italy,1880,1.33
388,Jamaica,1880,0.699
392,Japan,1880,1.13
404,Kenya,1880,0.29
450,Madagascar,1880,0.19
454,Malawi,1880,0.4
458,Malaysia,1880,0.12
466,Mali,1880,0.05
480,Mauritius,1880,0.93370266
484,Mexico,1880,0.74
504,Morocco,1880,0.06
508,Mozambique,1880,0.08
104,Myanmar,1880,0.039
528,Netherlands,1880,5.25
554,New Zealand,1880,4.46
558,Nicaragua,1880,0.71
562,Niger,1880,0.01
566,Nigeria,1880,0.01
578,Norway,1880,5.66
586,Pakistan,1880,0.11
591,Panama,1880,1.04
600,Paraguay,1880,0.78
604,Peru,1880,0.35
608,Philippines,1880,0.17
620,Portugal,1880,0.72
643,Russia,1880,1
686,Senegal,1880,0.08
694,Sierra Leone,1880,0.16
702,Singapore,1880,0.49297662
710,South Africa,1880,1.1
410,South Korea,1880,1.16
724,Spain,1880,2.04
144,Sri Lanka,1880,0.39225191
752,Sweden,1880,4.61
756,Switzerland,1880,6.59
760,Syria,1880,0.38
764,Thailand,1880,0.22
780,Trinidad and Tobago,1880,1.81529
788,Tunisia,1880,0.33
792,Turkey,1880,0.33
800,Uganda,1880,0.05
826,United Kingdom,1880,4.37
840,United States,1880,6.02
858,Uruguay,1880,1.77
862,Venezuela,1880,1.17
716,Zimbabwe,1880,0.02
12,Algeria,1890,0.48
24,Angola,1890,0.02
32,Argentina,1890,1.786
36,Australia,1890,5.28
40,Austria,1890,3.94
50,Bangladesh,1890,0.15
52,Barbados,1890,4.79877539
56,Belgium,1890,5.17
204,Benin,1890,0.13
68,Bolivia,1890,0.74811822
76,Brazil,1890,0.64
100,Bulgaria,1890,2.22
120,Cameroon,1890,0.04
124,Canada,1890,6.68
152,Chile,1890,1.57
156,China,1890,1.11
170,Colombia,1890,1.02477755
188,Costa Rica,1890,1.52
384,Cote d'Ivoire,1890,0.06
192,Cuba,1890,1.04
196,Cyprus,1890,0.4410402
208,Denmark,1890,5.25
214,Dominican Republic,1890,0.8
218,Ecuador,1890,1.54437581
818,Egypt,1890,0.23
222,El Salvador,1890,0.98
246,Finland,1890,1.62
250,France,1890,5.794
276,Germany,1890,6.1
288,Ghana,1890,0.06
300,Greece,1890,2.07
320,Guatemala,1890,0.83
328,Guyana,1890,1.50024831
340,Honduras,1890,1.05
348,Hungary,1890,3.59
356,India,1890,0.15
364,Iran,1890,0.31
368,Iraq,1890,0.14
372,Ireland,1890,3.89
380,Italy,1890,1.86
388,Jamaica,1890,1.192
392,Japan,1890,1.54
404,Kenya,1890,0.37
450,Madagascar,1890,0.24
454,Malawi,1890,0.4
458,Malaysia,1890,0.13
466,Mali,1890,0.06
480,Mauritius,1890,1.06046996
484,Mexico,1890,0.91
504,Morocco,1890,0.08
508,Mozambique,1890,0.1
104,Myanmar,1890,0.195
528,Netherlands,1890,5.42
554,New Zealand,1890,5.23
558,Nicaragua,1890,0.89
562,Niger,1890,0.01
566,Nigeria,1890,0.01
578,Norway,1890,5.71
586,Pakistan,1890,0.15
591,Panama,1890,1.28
600,Paraguay,1890,0.9299999
604,Peru,1890,0.42
608,Philippines,1890,0.19
620,Portugal,1890,1.03
643,Russia,1890,1.1
686,Senegal,1890,0.1
694,Sierra Leone,1890,0.21
702,Singapore,1890,0.67811674
710,South Africa,1890,1.1
410,South Korea,1890,1.21
724,Spain,1890,2.634
144,Sri Lanka,1890,0.61627166
752,Sweden,1890,5.02
756,Switzerland,1890,6.91
760,Syria,1890,0.45
764,Thailand,1890,0.26
780,Trinidad and Tobago,1890,2.24037729
788,Tunisia,1890,0.34
792,Turkey,1890,0.39
800,Uganda,1890,0.06
826,United Kingdom,1890,4.84
840,United States,1890,6.6
858,Uruguay,1890,1.94
862,Venezuela,1890,1.25
704,Vietnam,1890,0.35322064
716,Zimbabwe,1890,0.02
12,Algeria,1900,0.5
24,Angola,1900,0.02
32,Argentina,1900,2.122
36,Australia,1900,6.25
40,Austria,1900,4.627
50,Bangladesh,1900,0.29
52,Barbados,1900,5.15844722
56,Belgium,1900,5.17
204,Benin,1900,0.16
68,Bolivia,1900,1.24762277
76,Brazil,1900,0.742
100,Bulgaria,1900,2.72
120,Cameroon,1900,0.05
124,Canada,1900,7.1
152,Chile,1900,1.73
156,China,1900,1.16
170,Colombia,1900,1.29137001
188,Costa Rica,1900,1.69
384,Cote d'Ivoire,1900,0.08
192,Cuba,1900,1.22
196,Cyprus,1900,0.54314568
208,Denmark,1900,5.61
214,Dominican Republic,1900,0.96
218,Ecuador,1900,1.70930991
818,Egypt,1900,0.3
222,El Salvador,1900,1.16
246,Finland,1900,1.73
250,France,1900,6.31
276,Germany,1900,6.47
288,Ghana,1900,0.07
