ccode,country.name,year,value
56,Belgium,1850,41.327238
578,Norway,1850,15.313831
56,Belgium,1851,39.285358
578,Norway,1851,15.38956
694,Sierra Leone,1851,96.54727
56,Belgium,1852,38.705889
578,Norway,1852,15.456405
694,Sierra Leone,1852,96.796776
56,Belgium,1853,37.469064
578,Norway,1853,15.530133
694,Sierra Leone,1853,96.795471
56,Belgium,1854,36.906503
578,Norway,1854,15.623385
694,Sierra Leone,1854,96.215581
36,Australia,1855,63.083896
56,Belgium,1855,37.062751
480,Mauritius,1855,93.593914
578,Norway,1855,15.731936
694,Sierra Leone,1855,96.190804
36,Australia,1856,62.692525
56,Belgium,1856,35.005547
480,Mauritius,1856,92.647142
578,Norway,1856,15.855677
694,Sierra Leone,1856,96.110926
36,Australia,1857,61.433363
56,Belgium,1857,34.31038
480,Mauritius,1857,92.380135
578,Norway,1857,15.962235
694,Sierra Leone,1857,96.312406
36,Australia,1858,61.034798
56,Belgium,1858,33.095258
480,Mauritius,1858,91.859683
578,Norway,1858,16.064328
694,Sierra Leone,1858,96.176194
36,Australia,1859,60.127334
56,Belgium,1859,32.867955
480,Mauritius,1859,91.93904
578,Norway,1859,16.088857
694,Sierra Leone,1859,95.738092
36,Australia,1860,59.616696
56,Belgium,1860,33.881064
480,Mauritius,1860,92.627968
528,Netherlands,1860,36.496042
578,Norway,1860,16.154753
694,Sierra Leone,1860,95.687575
36,Australia,1861,59.12829
56,Belgium,1861,33.01447
480,Mauritius,1861,92.321035
528,Netherlands,1861,36.629484
578,Norway,1861,16.237516
694,Sierra Leone,1861,95.616792
36,Australia,1862,57.549937
56,Belgium,1862,33.407658
480,Mauritius,1862,92.071498
528,Netherlands,1862,35.615199
578,Norway,1862,16.289674
694,Sierra Leone,1862,95.643481
36,Australia,1863,57.089079
56,Belgium,1863,32.522333
480,Mauritius,1863,91.566872
528,Netherlands,1863,33.261509
578,Norway,1863,16.35326
694,Sierra Leone,1863,95.439808
36,Australia,1864,56.574686
56,Belgium,1864,32.43093
480,Mauritius,1864,91.603326
528,Netherlands,1864,35.606942
578,Norway,1864,16.393107
694,Sierra Leone,1864,95.169338
36,Australia,1865,55.683013
56,Belgium,1865,33.370441
480,Mauritius,1865,92.184474
528,Netherlands,1865,34.663098
578,Norway,1865,16.484164
694,Sierra Leone,1865,94.916493
144,Sri Lanka,1865,97.313917
36,Australia,1866,55.219078
56,Belgium,1866,32.620679
480,Mauritius,1866,91.954219
528,Netherlands,1866,35.36631
578,Norway,1866,16.532619
694,Sierra Leone,1866,94.866018
144,Sri Lanka,1866,97.064086
36,Australia,1867,53.270738
56,Belgium,1867,32.915103
480,Mauritius,1867,91.829746
528,Netherlands,1867,33.177809
578,Norway,1867,16.520195
