ccode,country.name,year,value
32,Argentina,1810,-20.2532
40,Austria,1810,-6.2782
56,Belgium,1810,0.010606
76,Brazil,1810,-69.3322
124,Canada,1810,4.61819
170,Colombia,1810,30.7692
203,Czech Republic,1810,-7.12653
218,Ecuador,1810,-19.1178
246,Finland,1810,0.485635
250,France,1810,-1.66676
348,Hungary,1810,-14.6054
380,Italy,1810,-12.5044
442,Luxembourg,1810,-7.92922
578,Norway,1810,1.63149
642,Romania,1810,-14.0321
688,Serbia,1810,-54.3743
703,Slovakia,1810,-12.5166
705,Slovenia,1810,-0.519348
752,Sweden,1810,-0.103867
756,Switzerland,1810,-0.352302
804,Ukraine,1810,-12.1045
826,United Kingdom,1810,-0.679266
840,United States,1810,-1.63039
858,Uruguay,1810,-12.737
32,Argentina,1820,-26.7764
51,Armenia,1820,-5.8954
40,Austria,1820,-6.21486
31,Azerbaijan,1820,-5.26213
112,Belarus,1820,-14.5454
56,Belgium,1820,-0.224841
76,Brazil,1820,-29.1388
124,Canada,1820,5.71076
170,Colombia,1820,1.53846
203,Czech Republic,1820,-7.02086
218,Ecuador,1820,-1.22091
233,Estonia,1820,-6.0738
246,Finland,1820,0.135605
250,France,1820,-1.82184
268,Georgia,1820,-9.49523
348,Hungary,1820,-7.14927
352,Iceland,1820,-4.25101
380,Italy,1820,-7.74291
398,Kazakhstan,1820,-29.0373
417,Kyrgyzstan,1820,-27.6574
428,Latvia,1820,-22.3954
440,Lithuania,1820,-27.6413
442,Luxembourg,1820,-4.89539
498,Moldova,1820,-20.2412
528,Netherlands,1820,0.846102
578,Norway,1820,-1.05689
616,Poland,1820,-21.059
642,Romania,1820,-10.3628
643,Russia,1820,-17.0582
688,Serbia,1820,-34.2113
703,Slovakia,1820,-8.65924
705,Slovenia,1820,-3.20285
752,Sweden,1820,0.197943
756,Switzerland,1820,-1.8686
762,Tajikistan,1820,-43.2721
792,Turkey,1820,-5.45045
795,Turkmenistan,1820,-12.2159
804,Ukraine,1820,-22.3017
826,United Kingdom,1820,-4.07021
840,United States,1820,-2.94316
858,Uruguay,1820,-38.6364
860,Uzbekistan,1820,-42.8695
32,Argentina,1830,-17.4177
51,Armenia,1830,-7.38786
40,Austria,1830,-7.29648
31,Azerbaijan,1830,-5.35604
50,Bangladesh,1830,-2.10897
112,Belarus,1830,-15.6571
56,Belgium,1830,-0.514127
124,Canada,1830,4.80577
170,Colombia,1830,13.2991
203,Czech Republic,1830,-6.33813
208,Denmark,1830,0.573564
218,Ecuador,1830,-6.91674
818,Egypt,1830,-2.72243
233,Estonia,1830,-5.3709
246,Finland,1830,0.303661
250,France,1830,-2.21045
268,Georgia,1830,-13.0033
276,Germany,1830,-2.3241
348,Hungary,1830,-10.9266
352,Iceland,1830,0.526398
356,India,1830,-3.15545
380,Italy,1830,-8.84415
398,Kazakhstan,1830,-25.0068
417,Kyrgyzstan,1830,-22.6187
428,Latvia,1830,-26.9044
440,Lithuania,1830,-23.8584
442,Luxembourg,1830,-3.8554
498,Moldova,1830,-16.9516
528,Netherlands,1830,-0.573654
578,Norway,1830,-0.476313
586,Pakistan,1830,-1.27336
616,Poland,1830,-12.8732
642,Romania,1830,-14.6125
643,Russia,1830,-14.7919
688,Serbia,1830,-12.4961
703,Slovakia,1830,-13.928
705,Slovenia,1830,-0.846565
724,Spain,1830,-8.45368
752,Sweden,1830,-0.597292
756,Switzerland,1830,-1.23372
762,Tajikistan,1830,-33.9677
792,Turkey,1830,-2.98491
795,Turkmenistan,1830,-15.2901
804,Ukraine,1830,-17.4487
826,United Kingdom,1830,-0.949733
840,United States,1830,-15.7464
858,Uruguay,1830,40.678
860,Uzbekistan,1830,-38.4971
32,Argentina,1840,-9.76999
51,Armenia,1840,-8.44334
40,Austria,1840,-7.89596
31,Azerbaijan,1840,-4.95406
50,Bangladesh,1840,-2.29494
112,Belarus,1840,-23.805
56,Belgium,1840,-0.597431
124,Canada,1840,0.373574
170,Colombia,1840,17.8442
188,Costa Rica,1840,-10.8922
203,Czech Republic,1840,-3.88479
208,Denmark,1840,0.095047
218,Ecuador,1840,2.81656
818,Egypt,1840,-4.71043
233,Estonia,1840,-9.65612
246,Finland,1840,-0.521858
268,Georgia,1840,-12.8118
276,Germany,1840,-1.40627
348,Hungary,1840,-10.978
352,Iceland,1840,-0.607262
356,India,1840,-6.3755
372,Ireland,1840,-1.57209
380,Italy,1840,-12.4803
398,Kazakhstan,1840,-21.5695
417,Kyrgyzstan,1840,-21.2695
428,Latvia,1840,-27.5924
440,Lithuania,1840,-35.2473
442,Luxembourg,1840,1.24466
498,Moldova,1840,-27.5916
104,Myanmar,1840,-7.63691
528,Netherlands,1840,-0.728085
578,Norway,1840,-3.43943
586,Pakistan,1840,-4.52051
616,Poland,1840,-22.7296
642,Romania,1840,-24.0038
643,Russia,1840,-15.3043
703,Slovakia,1840,-19.0616
705,Slovenia,1840,-3.92094
724,Spain,1840,-8.51105
752,Sweden,1840,-0.048375
756,Switzerland,1840,-0.0283
762,Tajikistan,1840,-30.4702
792,Turkey,1840,-6.50235
795,Turkmenistan,1840,-14.7001
804,Ukraine,1840,-24.1038
826,United Kingdom,1840,1.20113
840,United States,1840,-7.58305
858,Uruguay,1840,4.87826
860,Uzbekistan,1840,-35.2979
32,Argentina,1850,-1.69407
51,Armenia,1850,-14.3262
40,Austria,1850,-7.32272
31,Azerbaijan,1850,-6.29404
50,Bangladesh,1850,-2.49957
112,Belarus,1850,-36.5655
56,Belgium,1850,0.061821
124,Canada,1850,2.75305
188,Costa Rica,1850,-6.54942
191,Croatia,1850,-13.5733
203,Czech Republic,1850,-4.46487
208,Denmark,1850,0.946733
818,Egypt,1850,-4.50484
233,Estonia,1850,-10.1684
250,France,1850,0.075169
268,Georgia,1850,-15.356
276,Germany,1850,-1.03496
352,Iceland,1850,-0.370004
356,India,1850,-3.78597
372,Ireland,1850,-2.7951
380,Italy,1850,-1.86951
398,Kazakhstan,1850,-21.3575
417,Kyrgyzstan,1850,-21.1867
428,Latvia,1850,-25.3538
440,Lithuania,1850,-51.754
442,Luxembourg,1850,2.93763
498,Moldova,1850,-39.1423
104,Myanmar,1850,-2.01262
528,Netherlands,1850,-1.36964
578,Norway,1850,-0.847947
586,Pakistan,1850,-4.49125
616,Poland,1850,-20.1917
643,Russia,1850,-17.4797
705,Slovenia,1850,-1.4256
724,Spain,1850,-5.55999
752,Sweden,1850,0.413203
756,Switzerland,1850,-0.237701
762,Tajikistan,1850,-21.4001
792,Turkey,1850,-7.45509
795,Turkmenistan,1850,-14.1332
804,Ukraine,1850,-28.0886
826,United Kingdom,1850,-1.96057
840,United States,1850,-3.04641
860,Uzbekistan,1850,-26.3008
32,Argentina,1860,-10.0511
51,Armenia,1860,-37.9948
36,Australia,1860,-0.668381
40,Austria,1860,-7.24078
31,Azerbaijan,1860,-15.1672
50,Bangladesh,1860,-3.21298
52,Barbados,1860,-4.21831
112,Belarus,1860,-45.7502
84,Belize,1860,5.24812
188,Costa Rica,1860,-6.38922
203,Czech Republic,1860,-2.82311
208,Denmark,1860,0.114622
818,Egypt,1860,-7.04539
233,Estonia,1860,-13.6469
242,Fiji,1860,5.68479
268,Georgia,1860,-50.9848
276,Germany,1860,-0.207403
308,Grenada,1860,-9.31173
328,Guyana,1860,1.95762
352,Iceland,1860,2.73178
356,India,1860,-5.39126
372,Ireland,1860,-0.388172
380,Italy,1860,-1.76964
392,Japan,1860,0.523222
398,Kazakhstan,1860,-25.0705
417,Kyrgyzstan,1860,-28.6955
428,Latvia,1860,-25.9096
440,Lithuania,1860,-61.1911
442,Luxembourg,1860,-0.553461
498,Moldova,1860,-40.7029
104,Myanmar,1860,-0.320096
528,Netherlands,1860,-0.81662
554,New Zealand,1860,-1.46011
578,Norway,1860,0.62041
586,Pakistan,1860,-6.81364
604,Peru,1860,-7.35413
616,Poland,1860,-31.2982
620,Portugal,1860,-10.9914
643,Russia,1860,-24.2949
710,South Africa,1860,-10.5208
724,Spain,1860,-4.87182
144,Sri Lanka,1860,-11.5969
752,Sweden,1860,-0.126475
756,Switzerland,1860,-1.58659
