Year,Number
2015,1051031
2014,1016518
2013,990553
2012,1031631
2011,1062040
2010,1042625
2009,1130818
2008,1107126
2007,1052415
2006,1266129
2005,1122257
2004,957883
2003,703542
2002,1059356
2001,1058902
2000,841002
1999,644787
1998,653206
1997,797847
1996,915560
1995,720177
1994,803993
1993,903916
1992,973445
1991,1826595
1990,1535872
1989,1090172
1988,641346
1987,599889
1986,600027
1985,568149
1984,541811
1983,550052
1982,533624
1981,595014
1980,524295
1979,394244
1978,589810
1977,458755
1976,499093
1975,385378
1974,393919
1973,398515
1972,384685
1971,370478
1970,373326
1969,358579
1968,454448
1967,361972
1966,323040
1965,296697
1964,292248
1963,306260
1962,283763
1961,271344
1960,265398
1959,260686
1958,253265
1957,326867
1956,321625
1955,237790
1954,208177
1953,170434
1952,265520
1951,205717
1950,249187
1949,188317
1948,170570
1947,147292
1946,108721
1945,38119
1944,28551
1943,23725
1942,28781
1941,51776
1940,70756
1939,82998
1938,67895
1937,50244
1936,36329
1935,34956
1934,29470
1933,23068
1932,35576
1931,97139
1930,241700
1929,279678
1928,307255
1927,335175
1926,304488
1925,294314
1924,706896
1923,522919
1922,309556
1921,805228
1920,430001
1919,141132
1918,110618
1917,295403
1916,298826
1915,326700
1914,1218480
1913,1197892
1912,838172
1911,878587
1910,1041570
1909,751786
1908,782870
1907,1285349
1906,1100735
1905,1026499
1904,812870
1903,857046
1902,648743
1901,487918
1900,448572
1899,311715
1898,229299
1897,230832
1896,343267
1895,258536
1894,285631
1893,439730
1892,579663
1891,560319
1890,455302
1889,444427
1888,546889
1887,490109
1886,334203
1885,395346
1884,518592
1883,603322
1882,788992
1881,669431
1880,457257
1879,177826
1878,138469
1877,141857
1876,169986
1875,227498
1874,313339
1873,459803
1872,404806
1871,321350
1870,387203
1869,352768
1868,138840
1867,315722
1866,318568
1865,248120
1864,193418
1863,176282
1862,91985
1861,91918
1860,153640
1859,121282
1858,123126
1857,251306
1856,200436
1855,200877
1854,427833
1853,368645
1852,371603
1851,379466
1850,369980
1849,297024
1848,226527
1847,234968
1846,154416
1845,114371
1844,78615
1843,52496
1842,104565
1841,80289
1840,84066
1839,68069
1838,38914
1837,79340
1836,76242
1835,45374
1834,65365
1833,58640
1832,60482
1831,22633
1830,23322
1829,22520
1828,27382
1827,18875
1826,10837
1825,10199
1824,7912
1823,6354
1822,6911
1821,9127
1820,8385
